Team ,Position on team,Country of Citizenship,Given Name,Family Name ,Date of Birth,Date of Death,Sex,Place of birth,Place of death
Sale Sharks,centre,United Kingdom,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Wales national rugby union team,centre,United Kingdom,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Pontypridd RFC,centre,United Kingdom,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Dragons,centre,United Kingdom,Jonathan,Bryant,1976-10-14,,male,Aberdare,
Wales national rugby union team,lock,United Kingdom,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Treorchy RFC,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Glamorgan Police RFC,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby league team,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Hunslet Hawks,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Leeds Rhinos,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Wales national rugby union team,lock,United Kingdom of Great Britain and Ireland,David,,1901-05-22,1968-04-22,male,Pyle,Bridgend
Pontypool RFC,winger,Wales,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
London Welsh RFC,winger,Wales,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Wales national rugby union team,winger,Wales,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Pontypool RFC,winger,United Kingdom,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
London Welsh RFC,winger,United Kingdom,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Wales national rugby union team,winger,United Kingdom,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Pontypool RFC,winger,United Kingdom of Great Britain and Ireland,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
London Welsh RFC,winger,United Kingdom of Great Britain and Ireland,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Wales national rugby union team,winger,United Kingdom of Great Britain and Ireland,David,Jones,1881-12-10,1936-01-09,male,Pontymoile,Llantarnam
Great Britain national rugby league team,,Wales,David,,,,male,Wales,
Wales national rugby league team,,Wales,David,,,,male,Wales,
Halifax RLFC,,Wales,David,,,,male,Wales,
Wigan Warriors,,Wales,David,,,,male,Wales,
Great Britain national rugby league team,,United Kingdom,David,,,,male,Wales,
Wales national rugby league team,,United Kingdom,David,,,,male,Wales,
Halifax RLFC,,United Kingdom,David,,,,male,Wales,
Wigan Warriors,,United Kingdom,David,,,,male,Wales,
Newbridge RFC,flanker,Wales,Dennis,Hughes,1941-07-03,,male,Argoed,
Wales national rugby union team,flanker,Wales,Dennis,Hughes,1941-07-03,,male,Argoed,
Barbarians,flanker,Wales,Dennis,Hughes,1941-07-03,,male,Argoed,
Newbridge RFC,flanker,United Kingdom,Dennis,Hughes,1941-07-03,,male,Argoed,
Wales national rugby union team,flanker,United Kingdom,Dennis,Hughes,1941-07-03,,male,Argoed,
Barbarians,flanker,United Kingdom,Dennis,Hughes,1941-07-03,,male,Argoed,
Wakefield Trinity,,Wales,Derek,,1913-01-01,,male,Pontardawe,
Wales national rugby league team,,Wales,Derek,,1913-01-01,,male,Pontardawe,
Llanelli RFC,,Wales,Derek,,1913-01-01,,male,Pontardawe,
Cardiff RFC,flanker,Wales,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Wales national rugby union team,flanker,Wales,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Cardiff RFC,flanker,United Kingdom,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Wales national rugby union team,flanker,United Kingdom,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Cardiff RFC,flanker,United Kingdom of Great Britain and Ireland,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Wales national rugby union team,flanker,United Kingdom of Great Britain and Ireland,Derek,Williams,1924-11-28,2014-09-19,male,Cardiff,
Wales national rugby league team,winger,Wales,,Case,1918-01-01,,male,Newport,
Bradford Bulls,winger,Wales,,Case,1918-01-01,,male,Newport,
Cross Keys RFC,winger,Wales,,Case,1918-01-01,,male,Newport,
Wigan Warriors,scrum-half,Wales,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Cardiff RFC,scrum-half,Wales,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Wales national rugby union team,scrum-half,Wales,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Bath Rugby,scrum-half,Wales,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Wigan Warriors,scrum-half,United Kingdom,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Cardiff RFC,scrum-half,United Kingdom,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Wales national rugby union team,scrum-half,United Kingdom,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Bath Rugby,scrum-half,United Kingdom,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Wigan Warriors,scrum-half,United Kingdom of Great Britain and Ireland,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Cardiff RFC,scrum-half,United Kingdom of Great Britain and Ireland,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Wales national rugby union team,scrum-half,United Kingdom of Great Britain and Ireland,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Bath Rugby,scrum-half,United Kingdom of Great Britain and Ireland,,David,1879-01-01,1939-10-24,male,Cardiff,Llandaff
Great Britain national rugby league team,,Wales,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Wales national rugby league team,,Wales,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Hunslet Hawks,,Wales,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Leeds Rhinos,,Wales,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Bristol Bears,,Wales,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Great Britain national rugby league team,,United Kingdom,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Wales national rugby league team,,United Kingdom,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Hunslet Hawks,,United Kingdom,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Leeds Rhinos,,United Kingdom,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Bristol Bears,,United Kingdom,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Great Britain national rugby league team,,United Kingdom of Great Britain and Ireland,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Wales national rugby league team,,United Kingdom of Great Britain and Ireland,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Hunslet Hawks,,United Kingdom of Great Britain and Ireland,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Leeds Rhinos,,United Kingdom of Great Britain and Ireland,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Bristol Bears,,United Kingdom of Great Britain and Ireland,Richard,Williams,1925-03-16,1997-03-26,male,Mountain Ash,Leeds
Wales national rugby league team,,Wales,Donald,,1924-11-22,2000-04-14,male,Pontypool,Wales
Leigh Centurions,,Wales,Donald,,1924-11-22,2000-04-14,male,Pontypool,Wales
St Helens RLFC,,Wales,Donald,,1924-11-22,2000-04-14,male,Pontypool,Wales
Pontypool RFC,,Wales,Donald,,1924-11-22,2000-04-14,male,Pontypool,Wales
Wales national rugby league team,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
St Helens RLFC,centre,Wales,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Wales national rugby league team,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
St Helens RLFC,centre,United Kingdom,Donald,,1932-02-06,1989-09-17,male,Newbridge,Wakefield
Wales national under-20 rugby union team,,Wales,Rory,Pitman,1989-10-06,,male,Bridgend,
Wales national rugby union team (sevens),,Wales,Rory,,1988-12-15,,male,Cowbridge,
Wales national rugby union team (sevens),,United Kingdom,Rory,,1988-12-15,,male,Cowbridge,
Ospreys,,Wales,Ross,Davies,1984-03-25,,male,Trinant,
Sale Sharks,,Wales,Ross,Davies,1984-03-25,,male,Trinant,
Bristol Bears,,Wales,Ross,Johnson,1986-03-26,,male,Wales,
Wales national under-20 rugby union team,,Wales,Ross,Jones,1992-01-11,,male,Llanelli,
Ospreys,,Wales,Ross,Jones,1992-01-11,,male,Llanelli,
Dragons,,Wales,Ross,Wardle,1991-04-28,,male,Cardiff,
Cardiff RFC,,Wales,,Evans,1867-10-06,,male,Cwmbach,
Wales national rugby union team,,Wales,,Evans,1867-10-06,,male,Cwmbach,
Cardiff RFC,,United Kingdom,,Evans,1867-10-06,,male,Cwmbach,
Wales national rugby union team,,United Kingdom,,Evans,1867-10-06,,male,Cwmbach,
Leeds Rhinos,number 8,Wales,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Wales national rugby union team,number 8,Wales,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Pontypridd RFC,number 8,Wales,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Leeds Rhinos,number 8,United Kingdom,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Wales national rugby union team,number 8,United Kingdom,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Pontypridd RFC,number 8,United Kingdom,Russell,,1932-02-21,2019-09-27,male,Pontypridd,
Wales national under-20 rugby union team,,Wales,Sam,Hobbs,1988-05-13,,male,Brecon,
Pontypridd RFC,,Wales,Sam,Hobbs,1988-05-13,,male,Brecon,
Ospreys,flanker,Wales,Sam,Lewis,1990-09-07,,male,Swansea,
Swansea RFC,flanker,Wales,Sam,Lewis,1990-09-07,,male,Swansea,
Gloucester Rugby,flanker,Wales,Philip,Jones,1969-06-19,,male,Nantyglo,
Pontypridd RFC,flanker,Wales,Philip,Jones,1969-06-19,,male,Nantyglo,
Gloucester Rugby,flanker,Wales,Brian,Jones,1969-06-19,,male,Nantyglo,
Pontypridd RFC,flanker,Wales,Brian,Jones,1969-06-19,,male,Nantyglo,
Gloucester Rugby,flanker,Wales,Kingsley,Jones,1969-06-19,,male,Nantyglo,
Pontypridd RFC,flanker,Wales,Kingsley,Jones,1969-06-19,,male,Nantyglo,
Dragons,,Wales,Aaron,,1989-10-18,,male,Caerphilly,
London Welsh RFC,,Wales,Adam,Brown,1987-09-25,,male,Newport,
Dragons,,Wales,Adam,Brown,1987-09-25,,male,Newport,
Dragons,winger,Wales,Adam,Hughes,1990-02-14,,male,Newport,
Wales national under-20 rugby union team,,Wales,Jonathan,Evans,1992-07-25,,male,Cardiff,
Pontypool RFC,,Wales,Jonathan,Evans,1992-07-25,,male,Cardiff,
Dragons,,Wales,Jonathan,Evans,1992-07-25,,male,Cardiff,
Great Britain national rugby league team,scrum-half,Wales,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Wales national rugby league team,scrum-half,Wales,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Llanelli RFC,scrum-half,Wales,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
St Helens RLFC,scrum-half,Wales,Jonathan,Griffiths,1972-03-05,,male,Carmarthen,
Wales national under-20 rugby union team,hooker,Wales,Marc,Jones,1987-04-03,,male,Pontypridd,
Wales national under-18 rugby union team,hooker,Wales,Marc,Jones,1987-04-03,,male,Pontypridd,
Ospreys,,Wales,Marc,Thomas,1990-07-15,,male,Merthyr Tydfil,
Swansea RFC,flanker,Wales,Mark,Davies,1958-07-09,,male,Maesteg,
Wales national rugby union team,flanker,Wales,Mark,Davies,1958-07-09,,male,Maesteg,
Swansea RFC,flanker,United Kingdom,Mark,Davies,1958-07-09,,male,Maesteg,
Wales national rugby union team,flanker,United Kingdom,Mark,Davies,1958-07-09,,male,Maesteg,
Great Britain national rugby league team,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Wales national rugby league team,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Warrington Wolves,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Neath RFC,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Pontypool RFC,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Hull F.C.,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Wales national rugby union team,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Aberavon RFC,number 8,Wales,Mark,Jones,1965-06-22,,male,Tredegar,
Great Britain national rugby league team,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Wales national rugby league team,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Warrington Wolves,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Neath RFC,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Pontypool RFC,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Hull F.C.,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Wales national rugby union team,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Aberavon RFC,number 8,United Kingdom,Mark,Jones,1965-06-22,,male,Tredegar,
Pontypridd RFC,,Wales,Mark,Lewis,1982-06-18,,male,Wales,
Pontypridd RFC,,United Kingdom,Mark,Lewis,1982-06-18,,male,Wales,
Wales national rugby union team,flanker,Wales,Martyn,Madden,1973-12-04,,male,Cardiff,
Scarlets,flanker,Wales,Martyn,Madden,1973-12-04,,male,Cardiff,
Wales national rugby union team,flanker,United Kingdom,Martyn,Madden,1973-12-04,,male,Cardiff,
St Helens RLFC,centre,Wales,Vivian,Harrison,1921-12-01,1989-08-01,male,Neath,Redbridge
Wales national rugby league team,centre,Wales,Vivian,Harrison,1921-12-01,1989-08-01,male,Neath,Redbridge
Dragons,,Wales,Wayne,Evans,1984-06-03,,male,Carmarthen,
Pontypridd RFC,,Wales,Wayne,Evans,1984-06-03,,male,Carmarthen,
Cardiff RFC,fullback,Wales,Wharton,Davies,1873-11-10,1961-06-05,male,St Ishmael's,River Spen
Batley Bulldogs,fullback,Wales,Wharton,Davies,1873-11-10,1961-06-05,male,St Ishmael's,River Spen
Cardiff RFC,,Wales,,Powell,1892-09-13,1961-03-20,male,Cardiff,Cyncoed
Wales national rugby union team,flanker,Wales,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Pontypool RFC,flanker,Wales,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Wigan Warriors,flanker,Wales,Wilfred,,1896-05-06,1957-11-12,male,Abersychan,Morecambe
Cross Keys RFC,,Wales,,,1988-04-03,,male,Pontypridd,
Wales national rugby union team (sevens),,Wales,,,1988-04-03,,male,Pontypridd,
Scarlets,,Wales,,Reynolds,1989-04-07,,male,Llanelli,
Wales national under-20 rugby union team,,Wales,,Reynolds,1989-04-07,,male,Llanelli,
Dragons,,Wales,Matthew,,1992-10-24,,male,Church Village,
Scarlets,,Wales,Jordan,Williams,1993-09-20,,male,Swansea,
Wales national rugby union team (sevens),,Wales,Jordan,Williams,1993-09-20,,male,Swansea,
Wales national under-18 rugby union team,,Wales,Jordan,Williams,1993-09-20,,male,Swansea,
Wales national under-20 rugby union team,,Wales,Jordan,Williams,1993-09-20,,male,Swansea,
Dragons,,Wales,Luc,Jones,1994-05-12,,male,Neath,
Wales national under-20 rugby union team,,Wales,Luc,Jones,1994-05-12,,male,Neath,
Dragons,,Wales,James,Benjamin,1994-02-21,,male,Newport,
Wales national under-20 rugby union team,,Wales,James,Benjamin,1994-02-21,,male,Newport,
Dragons,,Wales,Dorian,Jones,1992-09-27,,male,Abergavenny,
Dragons,,Wales,Scott,Matthews,1994-02-08,,male,Cardiff,
Wales national under-20 rugby union team,,Wales,Scott,Matthews,1994-02-08,,male,Cardiff,
Dragons,,Wales,Angus,O'Brien,1994-09-17,,male,Caerleon,
Wales national under-20 rugby union team,,Wales,Angus,O'Brien,1994-09-17,,male,Caerleon,
Dragons,,Wales,Ashton,Hewitt,1994-11-20,,male,Newport,
Wales national under-20 rugby union team,,Wales,Ashton,Hewitt,1994-11-20,,male,Newport,
Dragons,,Wales,Geraint,Jones,1987-08-23,,male,Abergavenny,
Wales national under-20 rugby union team,,Wales,Geraint,Jones,1987-08-23,,male,Abergavenny,
Dragons,,Wales,Joe,Davies,1995-11-13,,male,Newport,
Wales national under-20 rugby union team,,Wales,Joe,Davies,1995-11-13,,male,Newport,
Leigh Centurions,flanker,Wales,Peter,Davies,1924-12-30,2014-02-18,male,Newport,Newport
Bath Rugby,centre,Wales,Max,Clark,1995-10-03,,male,Bridgend,
England national under-20 rugby union team,centre,Wales,Max,Clark,1995-10-03,,male,Bridgend,
England national under-18 rugby union team,centre,Wales,Max,Clark,1995-10-03,,male,Bridgend,
Loughborough Students RUFC,,Wales,Ray,Williams,1927-08-25,2014-12-03,male,Bangor,Haverfordwest
Dragons,,Wales,Alex,,1995-04-27,,male,Newport,
Cross Keys RFC,,Wales,Alex,,1995-04-27,,male,Newport,
Wales national under-18 rugby union team,,Wales,Alex,,1995-04-27,,male,Newport,
Wales national under-20 rugby union team,,Wales,Alex,,1995-04-27,,male,Newport,
Aberavon RFC,prop,Wales,,Thomas,1994-08-26,,male,Swansea,
Swansea RFC,prop,Wales,,Thomas,1994-08-26,,male,Swansea,
Ospreys,prop,Wales,,Thomas,1994-08-26,,male,Swansea,
Wales national under-20 rugby union team,prop,Wales,,Thomas,1994-08-26,,male,Swansea,
Pontypool RFC,,Wales,Kevin,,1963-07-02,,male,Caerphilly,
Wales national rugby union team,flanker,Wales,Mark,Bennett,1969-01-26,,male,Neath,
Swansea RFC,flanker,Wales,Mark,Bennett,1969-01-26,,male,Neath,
Bristol Bears,flanker,Wales,Mark,Bennett,1969-01-26,,male,Neath,
Neath RFC,flanker,Wales,Mark,Bennett,1969-01-26,,male,Neath,
Dragons,,Wales,Ollie,Griffiths,1995-03-23,,male,Newport,
Wales national rugby union team,,Wales,Ollie,Griffiths,1995-03-23,,male,Newport,
Wales national under-20 rugby union team,,Wales,Ollie,Griffiths,1995-03-23,,male,Newport,
Bedford Blues,,Wales,Alan,Davies,1948-01-28,,male,Ynysybwl,
Salford Red Devils,lock,Wales,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby league team,lock,Wales,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Neath RFC,lock,Wales,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby union team,lock,Wales,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Salford Red Devils,lock,United Kingdom,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby league team,lock,United Kingdom,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Neath RFC,lock,United Kingdom,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby union team,lock,United Kingdom,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Salford Red Devils,lock,United Kingdom of Great Britain and Ireland,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby league team,lock,United Kingdom of Great Britain and Ireland,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Neath RFC,lock,United Kingdom of Great Britain and Ireland,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
Wales national rugby union team,lock,United Kingdom of Great Britain and Ireland,Harold,Thomas,1914-02-19,1989-12-10,male,Neath,Neath
England national rugby union team,number 8,Wales,Geoffrey,Conway,1897-11-15,2000-01-01,male,Cardiff,
England national rugby union team,number 8,United Kingdom,Geoffrey,Conway,1897-11-15,2000-01-01,male,Cardiff,
Newbridge RFC,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
Great Britain national rugby league team,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
Salford Red Devils,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
Wales national rugby league team,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
St Helens RLFC,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
Maesteg RFC,,Wales,Glyn,Moses,1928-05-30,,male,Wales,
Newbridge RFC,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
Great Britain national rugby league team,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
Salford Red Devils,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
Wales national rugby league team,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
St Helens RLFC,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
Maesteg RFC,,United Kingdom,Glyn,Moses,1928-05-30,,male,Wales,
Coventry R.F.C.,hooker,Wales,Herbert,,1935-12-21,2006-01-01,male,Abergavenny,Devon
England national rugby union team,hooker,Wales,Herbert,,1935-12-21,2006-01-01,male,Abergavenny,Devon
Coventry R.F.C.,hooker,United Kingdom,Herbert,,1935-12-21,2006-01-01,male,Abergavenny,Devon
England national rugby union team,hooker,United Kingdom,Herbert,,1935-12-21,2006-01-01,male,Abergavenny,Devon
Cambridge University RUFC,,Wales,Tony,Lewis,1938-07-06,,male,Swansea,
England and Wales cricket team,,Wales,Tony,Lewis,1938-07-06,,male,Swansea,
